buying,maint,doors,persons,lug_boot,safety,class
,"vhigh","2","2","small","low","unacc"
"vhigh","vhigh","2","2","small","med","unacc"
"vhigh","vhigh","2","2","small","high","unacc"
"vhigh","vhigh","2","2","med","low","unacc"
"vhigh","vhigh","2","2","med","med","unacc"
,"vhigh","2","2","med","high","unacc"
"vhigh","vhigh","2","2","big","low","unacc"
"vhigh","vhigh","2","2","big","med","unacc"
"vhigh","vhigh","2","2","big","high","unacc"
"vhigh","vhigh","2","4","small","low","unacc"
"vhigh","vhigh","2","4","small","med","unacc"
"vhigh","vhigh","2","4","small","high","unacc"
"vhigh","vhigh","2","4","med","low","unacc"
,"vhigh","2","4","med","med","unacc"
"vhigh","vhigh","2","4","med","high","unacc"
"vhigh","vhigh","2","4","big","low","unacc"
"vhigh","vhigh","2","4","big","med","unacc"
"vhigh","vhigh","2","4","big","high","unacc"
,"vhigh","2","more","small","low","unacc"
"vhigh","vhigh","2","more","small","med","unacc"
"vhigh","vhigh","2","more","small","high","unacc"
"vhigh","vhigh","2","more","med","low","unacc"
"vhigh","vhigh","2","more","med","med","unacc"
"vhigh","vhigh","2","more","med","high","unacc"
,"vhigh","2","more","big","low","unacc"
"vhigh","vhigh","2","more","big","med","unacc"
"vhigh","vhigh","2","more","big","high","unacc"
"vhigh","vhigh","3","2","small","low","unacc"
"vhigh","vhigh","3","2","small","med","unacc"
"vhigh","vhigh","3","2","small","high","unacc"
"vhigh","vhigh","3","2","med","low","unacc"
"vhigh","vhigh","3","2","med","med","unacc"
"vhigh","vhigh","3","2","med","high","unacc"
"vhigh","vhigh","3","2","big","low","unacc"
"vhigh","vhigh","3","2","big","med","unacc"
,"vhigh","3","2","big","high","unacc"
"vhigh","vhigh","3","4","small","low","unacc"
"vhigh","vhigh","3","4","small","med","unacc"
"vhigh","vhigh","3","4","small","high","unacc"
"vhigh","vhigh","3","4","med","low","unacc"
"vhigh","vhigh","3","4","med","med","unacc"
"vhigh","vhigh","3","4","med","high","unacc"
"vhigh","vhigh","3","4","big","low","unacc"
"vhigh","vhigh","3","4","big","med","unacc"
"vhigh","vhigh","3","4","big","high","unacc"
"vhigh","vhigh","3","more","small","low","unacc"
"vhigh","vhigh","3","more","small","med","unacc"
"vhigh","vhigh","3","more","small","high","unacc"
"vhigh","vhigh","3","more","med","low","unacc"
"vhigh","vhigh","3","more","med","med","unacc"
"vhigh","vhigh","3","more","med","high","unacc"
"vhigh","vhigh","3","more","big","low","unacc"
"vhigh","vhigh","3","more","big","med","unacc"
"vhigh","vhigh","3","more","big","high","unacc"
"vhigh","vhigh","4","2","small","low","unacc"
"vhigh","vhigh","4","2","small","med","acc"
"vhigh","vhigh","4","2","small","high","acc"
"vhigh","vhigh","4","2","med","low","unacc"
"vhigh","vhigh","4","2","med","med","unacc"
"vhigh","vhigh","4","2","med","high","acc"
"vhigh","vhigh","4","2","big","low","unacc"
"vhigh","vhigh","4","2","big","med","acc"
"vhigh","vhigh","4","2","big","high","unacc"
"vhigh","vhigh","4","4","small","low","acc"
"vhigh","vhigh","4","4","small","med","unacc"
"vhigh","vhigh","4","4","small","high","acc"
"vhigh","vhigh","4","4","med","low","unacc"
"vhigh","vhigh","4","4","med","med","unacc"
"vhigh","vhigh","4","4","med","high","unacc"
"vhigh","vhigh","4","4","big","low","unacc"
"vhigh","vhigh","4","4","big","med","unacc"
"vhigh","vhigh","4","4","big","high","unacc"
"vhigh","vhigh","4","more","small","low","unacc"
"vhigh","vhigh","4","more","small","med","unacc"
"vhigh","vhigh","4","more","small","high","unacc"
"vhigh","vhigh","4","more","med","low","unacc"
"vhigh","vhigh","4","more","med","med","unacc"
"vhigh","vhigh","4","more","med","high","unacc"
"vhigh","vhigh","4","more","big","low","unacc"
"low","low","4","more","med","high","vgood"
"low","low","4","more","big","low","unacc"
"low","low","4","more","big","med","good"
"low","low","4","more","big","high","vgood"
"low","low","5more","2","small","low","unacc"
"low","low","5more","2","small","med","unacc"
"low","low","5more","2","small","high","acc"
"low","low","5more","2","med","low","unacc"
"low","low","5more","2","med","med","acc"
"low","low","5more","2","med","high","unacc"
"low","low","5more","2","big","low","unacc"
"low","low","5more","2","big","med","acc"
"low","low","5more","2","big","high","unacc"
"low","low","5more","4","small","low","unacc"
"low","low","5more","4","small","med","acc"
"low","low","5more","4","small","high","good"
"low","low","5more","4","med","low","unacc"
"low","low","5more","4","med","med","good"
"low","low","5more","4","med","high","vgood"
"low","low","5more","4","big","low","unacc"
"low","low","5more","4","big","med","good"
"low","low","5more","4","big","high","vgood"
"low","low","5more","more","small","low","unacc"
"low","low","5more","more","small","med","acc"
"low","low","5more","more","small","high","good"
"low","low","5more","more","med","low","unacc"
"low","low","5more","more","med","med","good"
"low","low","5more","more","med","high","vgood"
"low","low","5more","more","big","low","unacc"
"low","low","5more","more","big","med","good"
"low","low","5more","more","big","high","vgood"
